iter	Passed	Remaining
870	1259	186
871	1260	185
872	1261	183
873	1262	182
874	1264	180
875	1265	179
876	1266	177
877	1267	176
878	1269	174
879	1270	173
880	1271	171
881	1273	170
882	1274	168
883	1275	167
884	1276	165
885	1277	164
886	1278	162
887	1280	161
888	1281	159
889	1282	158
890	1283	157
891	1284	155
892	1285	154
893	1287	152
894	1288	151
895	1289	149
896	1290	148
897	1291	146
898	1292	145
899	1293	143
900	1295	142
901	1296	140
902	1297	139
903	1299	137
904	1300	136
905	1301	135
906	1302	133
907	1304	132
908	1305	130
909	1306	129
910	1307	127
911	1308	126
912	1309	124
913	1311	123
914	1312	121
915	1313	120
916	1314	118
917	1315	117
918	1316	116
919	1318	114
920	1319	113
921	1320	111
922	1321	110
923	1322	108
924	1323	107
925	1324	105
926	1326	104
927	1327	102
928	1328	101
929	1329	100
930	1330	98
931	1332	97
932	1333	95
933	1334	94
934	1335	92
935	1336	91
936	1337	89
937	1339	88
938	1340	87
939	1341	85
940	1342	84
941	1343	82
942	1344	81
943	1346	79
944	1347	78
945	1348	76
946	1349	75
947	1350	74
948	1351	72
949	1353	71
950	1355	69
951	1356	68
952	1357	66
953	1359	65
954	1360	64
955	1362	62
956	1363	61
957	1365	59
958	1366	58
959	1367	56
960	1368	55
961	1370	54
962	1371	52
963	1372	51
964	1373	49
965	1374	48
966	1375	46
967	1376	45
968	1378	44
969	1379	42
970	1380	41
971	1381	39
972	1382	38
973	1384	36
974	1385	35
975	1386	34
976	1387	32
977	1388	31
978	1389	29
979	1391	28
980	1392	26
981	1393	25
982	1394	24
983	1395	22
984	1396	21
985	1398	19
986	1399	18
987	1400	17
988	1401	15
989	1402	14
990	1403	12
991	1404	11
992	1406	9
993	1407	8
994	1408	7
995	1409	5
996	1410	4
997	1411	2
998	1413	1
999	1414	0
